arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
أرسل (أرسل),أرسل,arsal (arsala),To send (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أرسل.mp3
أرسلت,أرسلت,Arsalt,I sent,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أرسلت.mp3
أكمل (أكمل),أكمل,akammil (akmala),To continue / complete (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أكمل.mp3
أكمل,أكمل,akammil,I continue / am continuing,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أكمل.mp3
بدأ (بدأ),بدأ,badaʾa (badaʾa),To start (Past I form + object pronoun / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بدأ.mp3
بدأته,بدأته,badaʾtuh,I started it,Verb,Past (I + it object pronoun),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بدأته.mp3
أهتم (اهتمّ),أهتم,ahtamm (ihtamma),To care / pay attention (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أهتم.mp3
أهتم,أهتم,ahtamm,I care / pay attention,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أهتم.mp3
مرّ (مرّ),مرّ,marra (marra),To pass by (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مر_.mp3
أمر,أمر,amurr,I pass by,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أمر.mp3
مرّيت,مرّيت,Mar-rayt,I passed by,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مر_يت.mp3
تسأل (سأل),تسأل,tisaaʾal (saʾala),To ask (She form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تسأل.mp3
كانت تسأل,كانت تسأل,kaanat tisaaʾal,She was asking,Verb,Past Continuous (She),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كانت_تسأل.mp3
نمشي (مشى),نمشي,nimshi (masha),To walk / go (We form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نمشي.mp3
نمشي,نمشي,nimshi,We go / walk,Verb,Present (We),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نمشي.mp3
يمشي,يمشي,yimshi,He/It walks / goes,Verb,Present (He/It),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يمشي.mp3
استوعب (استوعب),استوعب,istaawʿaba (istaawʿaba),To process / realize (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\استوعب.mp3
ما استوعبت,ما استوعبت,maa istaawʿabt,I didn't process / realize,Verb,Past Negative (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_استوعبت.mp3
قعد (قعد),قعد,qaʿada (qaʿada),To sit (Past We form / Root - used for continuous),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قعد.mp3
قعدنا,قعدنا,Qaʿadna,We sat / kept doing,Verb,Past Continuous (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قعدنا.mp3
نضحك (ضحك),نضحك,niḍḥak (ḍaḥika),To laugh (We form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نضحك.mp3
نضحك,نضحك,niḍḥak,We laugh / to laugh,Verb,Present (We) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نضحك.mp3
لا تضحك,لا تضحك,laa tiḍḥak,Don’t laugh,Verb,Imperative Negative (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لا_تضحك.mp3
طار (طار),طار,ṭaar (ṭaara),To fly (Past He/It form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طار.mp3
طار,طار,ṭaar,It flew,Verb,Past (He/It),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طار.mp3
انبسط (انبسط),انبسط,inbasaṭ (inbasaṭa),To be happy / have fun (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\انبسط.mp3
انبسطت,انبسطت,Inbasaṭt,I was happy / had fun,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\انبسطت.mp3
استمتع (استمتع),استمتع,istamtaʿ (istamtaʿa),To enjoy (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\استمتع.mp3
استمتعت,استمتعت,istamtaʿt,I enjoyed,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\استمتعت.mp3
تقبّل (تقبّل),تقبّل,taqabbal (taqabbala),To accept (They form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تقب_ل.mp3
يتقبلون,يتقبلون,yitqabbaloon,They accept,Verb,Present (They),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يتقبلون.mp3
جاء (جاء),جاء,jaaʾa (jaaʾa),To come (Past He form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جاء.mp3
جا,جا,jaa,He came,Verb,Past (He),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جا.mp3
أرد (ردّ),أرد,arudd (radda),To reply (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أرد.mp3
أرد,أرد,arudd,I reply / to reply,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أرد.mp3
شرّف (شرّف),شرّف,sharraf (sharrafa),To honor (Past form + pronoun),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شر_ف.mp3
شرفتني,شرفتني,sharaftani,You honored me,Verb,Past (You masculine singular + me object pronoun),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شرفتني.mp3
شرفتونا,شرفتونا,sharaftūna,You honored us,Verb,Past (You plural + us object pronoun),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شرفتونا.mp3
ألماني,ألماني,almaani,German (person/language),Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ألماني.mp3
صوت,صوت,ṣoot,Voice,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صوت.mp3
جوال,جوال,jawwaal,Mobile phone,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جوال.mp3
خالد,خالد,khaalid,Khalid (name),Noun,,,,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خالد.mp3
المدير,المدير,almudiir,The manager,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\المدير.mp3
أختي,أختي,ukhti,My sister,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أختي.mp3
أخت,أخت,ukht,Sister,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أخت.mp3
خطتي,خطتي,khuttati,My plan,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خطتي.mp3
الخطة,الخطة,alkhutta,The plan,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الخطة.mp3
أمك,أمك,ummak,Your mom,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أمك.mp3
أمي,أمي,ummi,My mom,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أمي.mp3
أم,أم,umm,Mom,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أم.mp3
رأيها,رأيها,ra’yaha,Her opinion,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رأيها.mp3
رأي,رأي,raʾy,Opinion,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رأي.mp3
كلام,كلام,kalaam,Speech / words / what someone said,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلام.mp3
كلامي,كلامي,kalaami,My words,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلامي.mp3
كلامك,كلامك,kalaamak,Your words,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلامك.mp3
الشغل,الشغل,ash-shughl,The work / job,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الشغل.mp3
عربي,عربي,ʿArabi,Arabic,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عربي.mp3
صاحبي,صاحبي,ṣaaḥbi,My friend,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صاحبي.mp3
صاحب,صاحب,ṣaaḥib,Friend,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صاحب.mp3
الرياض,الرياض,ar-Riyaaḍ,Riyadh (place name),Noun,,,,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الرياض.mp3
وقت,وقت,waqt,Time,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وقت.mp3
الكهرباء,الكهرباء,al-kahrabaʾ,The electricity,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الكهرباء.mp3
كتب,كتب,kutub,Books,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كتب.mp3
كتاب,كتاب,kitaab,Book,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كتاب.mp3
فراغ,فراغ,faraagh,Emptiness / free time,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\فراغ.mp3
وقت الفراغ,وقت الفراغ,waqt il-faraagh,Free time,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وقت_الفراغ.mp3
رسالة,رسالة,risaalah,Message,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رسالة.mp3
رسالتك,رسالتك,risaaltak,Your message,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رسالتك.mp3
السوق,السوق,as-suuq,The market,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\السوق.mp3
جدتي,جدتي,jaddati,My grandmother,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جدتي.mp3
جدة,جدة,jaddah,Grandmother,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جدة.mp3
اسمك,اسمك,ismak,Your name,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اسمك.mp3
اسم,اسم,ism,Name,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اسم.mp3
الجامعة,الجامعة,al-jaamiʿah,The university,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الجامعة.mp3
الدوام,الدوام,ad-dawaam,The work (place),Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الدوام.mp3
شي,شي,shay,Thing / something,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شي.mp3
مزاج,مزاج,mazaaj,Mood,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مزاج.mp3
مطعم,مطعم,maṭʿam,Restaurant,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مطعم.mp3
أهل,أهل,ahl,Family,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أهل.mp3
أهلي,أهلي,ahli,My family,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أهلي.mp3
مكان,مكان,makaan,Place / somewhere,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مكان.mp3
طريقة,طريقة,ṭareeqah,Way / method,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طريقة.mp3
الله,الله,Allah,God,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الله.mp3
الأسبوع,الأسبوع,al-usbooʿ,The week,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الأسبوع.mp3
الأسبوع الجاي,الأسبوع الجاي,al-usbooʿ al-jaay,Next week,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الأسبوع_الجاي.mp3
الطريق,الطريق,aṭ-ṭareeq,The way,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الطريق.mp3
دقيقة,دقيقة,daqeeqah,Minute,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\دقيقة.mp3
عشرين دقيقة,عشرين دقيقة,ʿishreen daqeeqah,Twenty minutes,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عشرين_دقيقة.mp3
مرة,مرة,marrah,Once / time (as in 'first time'),Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مرة.mp3
المزاج,المزاج,al-mazaaj,The mood,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\المزاج.mp3
الصورة,الصورة,aṣ-ṣoorah,The photo,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الصورة.mp3
واتساب,واتساب,WhatsApp,WhatsApp,Noun,,,,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\واتساب.mp3
موعد,موعد,mawʿid,Appointment,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\موعد.mp3
التأخير,التأخير,at-taʾkheer,Being late / delay,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\التأخير.mp3
الحقيقة,الحقيقة,al-ḥaqeeqah,The reality / fact,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الحقيقة.mp3
الحين,الحين,alḥeen,Now,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الحين.mp3
كون,كون,kawn,Being / state,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كون.mp3
جو,جو,jaww,Atmosphere / vibe / weather,Noun,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جو.mp3
الجو,الجو,al-jaww,The weather / atmosphere,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الجو.mp3
الأجانب,الأجانب,al-ajaanib,The foreigners,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الأجانب.mp3
واحد,واحد,waaḥid,One / someone,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\واحد.mp3
الأكل الإيطالي,الأكل الإيطالي,al-akl al-iṭaali,Italian food,Noun,,,,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الأكل_الإيطالي.mp3
افتخار,افتخار,iftikhār,Pride / honor,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\افتخار.mp3
قلبي,قلبي,qalbi,My heart,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قلبي.mp3
قلب,قلب,qalb,Heart,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قلب.mp3
شروق,شروق,shurūq,Sunrise,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شروق.mp3
جمال,جمال,jamāl,Beauty / Jamal (name),Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جمال.mp3
ارتياح,ارتياح,irtiyaaḥ,Ease / comfort,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ارتياح.mp3
لحظة,لحظة,laḥẓah,Moment,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لحظة.mp3
يوم,يوم,yawm,Day,Noun,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يوم.mp3
عالي,عالي,3aali,High / loud,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عالي.mp3
فاضي,فاضي,faadi,Empty,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\فاضي.mp3
غلط,غلط,ghalat,Wrong,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\غلط.mp3
تعبان,تعبان,taʿbaan,Tired,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تعبان.mp3
عربي,عربي,ʿArabi,Arabic,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عربي.mp3
موجود,موجود,mawjood,Present / existing / available,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\موجود.mp3
صحيح,صحيح,ṣaḥeeḥ,Correct,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صحيح.mp3
رهيب,رهيب,raheeb,Awesome / amazing,Adjective,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رهيب.mp3
طبيعي,طبيعي,ṭabiiʿi,Normal,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طبيعي.mp3
مو طبيعي,مو طبيعي,mo ṭabiiʿi,Not normal / crazy / wild,Adjective,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مو_طبيعي.mp3
جائع,جائع,jaaʾiʿ,Hungry,Adjective,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جائع.mp3
جوعان,جوعان,juuʿaan,Hungry,Adjective,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جوعان.mp3
هادي,هادي,haadi,Quiet / calm,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هادي.mp3
جديد,جديد,jadeed,New,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جديد.mp3
متأكد,متأكد,mutaʾakkid,Sure,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\متأكد.mp3
مبسوط,مبسوط,mabsooṭ,Happy / pleased,Adjective,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مبسوط.mp3
مختلفة,مختلفة,mukhtalifah,Different (feminine),Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مختلفة.mp3
صريح,صريح,ṣareeḥ,Honest,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صريح.mp3
عادي,عادي,ʿaadi,Normal / okay / fine,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عادي.mp3
جميل,جميل,jameel,Beautiful,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جميل.mp3
بسيط,بسيط,baseeṭ,Simple,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بسيط.mp3
مستحيل,مستحيل,mustaḥeel,Impossible,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مستحيل.mp3
حلو,حلو,ḥilw,Nice / sweet,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حلو.mp3
أحلى,أحلى,aḥla,Most beautiful,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحلى.mp3
غريب,غريب,ghareeb,Strange / stranger,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\غريب.mp3
متأخر,متأخر,mitaʾakhkher,Late,Adjective,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\متأخر.mp3
هو,هو,Huwwa,He,Pronoun,Personal,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هو.mp3
إحنا,إحنا,Ihna,We,Pronoun,Personal,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إحنا.mp3
هم,هم,Humma,They,Pronoun,Personal,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هم.mp3
أنا,أنا,Ana,I,Pronoun,Personal,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أنا.mp3
هي,هي,Hiyya,She,Pronoun,Personal,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هي.mp3
أنت,أنت,Anta,You (masculine singular),Pronoun,Personal,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أنت.mp3
إنت,إنت,Inta,You (masculine singular),Pronoun,Personal,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إنت.mp3
هذا,هذا,Haada,This (masculine singular),Pronoun,Demonstrative,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هذا.mp3
هذي,هذي,Haadhi,This (feminine singular),Pronoun,Demonstrative,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هذي.mp3
أحد,أحد,Ahad,Anyone / someone / no one (with negation),Pronoun,Indefinite,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحد.mp3
-ي,-ي,-i/-ni,My / me,Pronoun,Possessive / Object,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-ي.mp3
-ك,-ك,-k,Your / you,Pronoun,Possessive / Object,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-ك.mp3
-ها,-ها,-ha,Her,Pronoun,Possessive / Object,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-ها.mp3
-ه,-ه,-uh / -h,His / him / it,Pronoun,Possessive / Object,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-ه.mp3
-نا,-نا,-na,Our / us,Pronoun,Possessive / Object,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-نا.mp3
-يّ,-يّ,-ayya,On me,Pronoun,Object + Preposition fusion,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-ي_.mp3
-لك,-لك,-lak,To you,Pronoun,Preposition + Object,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\-لك.mp3
مع,مع,ma3 / maʿa,With,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مع.mp3
عن,عن,3ann / ʿan,About,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عن.mp3
بـ,بـ,bi-,With / by / in,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بـ.mp3
لـ,لـ,li-,To / for,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لـ.mp3
قبل,قبل,qabil,Before,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قبل.mp3
قبل ما,قبل ما,qabil maa,Before (followed by verb),Preposition,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قبل_ما.mp3
بعد,بعد,baʿd,After / in (time),Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بعد.mp3
إلى,إلى,ila,To (formal),Preposition,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إلى.mp3
من,من,min,From / by,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\من.mp3
في,في,fi,In / at,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\في.mp3
فيه,فيه,fih,In it,Preposition,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\فيه.mp3
عليها,عليها,ʿalayha,On her,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عليها.mp3
عليك,عليك,ʿalayk,On you,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عليك.mp3
على,على,ʿala,On / to / about,Preposition,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\على.mp3
