arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
شكرًا جزيلًا,,shukran jazīlan,Thank you very much,Interjection & Greeting,,,Both,
مساء الـ...,,masāʾ al-...,The evening of… (greeting structure),Interjection & Greeting,,,Both,
والله,,wallah,I swear (by God),Interjection & Greeting,,,Both,
اوه,,oh,Oh (interjection),Interjection & Greeting,,,N/A,
بصوت عالي,,bisoot ʿaali,Loudly / with a high voice,Phrase / Idiom,,"Lit. ""with voice high""",Both,
قبل ما,,qabil maa,Before (followed by verb),Phrase / Idiom,,Colloquial conjunction,Saudi,
ما تدري,,maa tidri,She doesn't know,Phrase / Idiom,,Colloquial negation of a present verb,Saudi,
إيش قاعد يقول؟,,Ish qaaʿid yiquul?,What is he saying?,Phrase / Idiom,,Using Qaaʿid for present continuous,Saudi,
قال لي,,qaal li,To say to / to tell,Phrase / Idiom,,Verb + preposition,Saudi,
لا تقول لأحد,,laa tiquul li'ahad,Don’t tell anyone,Phrase / Idiom,,"Aḥad with negation means ""anyone/no one""",Saudi,
كلام فاضي,,kalaam faadi,Nonsense / empty speech,Phrase / Idiom,,"Lit. ""empty words""",Both,
كانوا يتكلموا,,kaanu yitkallamu,They were speaking,Phrase / Idiom,,Kaanu + present verb for past continuous,Saudi,
كنت أبغى,,Kuntu abgha,I wanted,Phrase / Idiom,,Kaan + Abgha often means 'wanted' or 'used to want',Saudi,
وبس,,w-bas,And that's all / That's it,Phrase / Idiom,,"Lit. ""and just/only""",Both,
كنت قاعد أطبخ,,Kunt qaaʿid aṭbukh,I was cooking,Phrase / Idiom,,Kaan + Qaaʿid + present verb for past continuous,Saudi,
ما فهمت وش تبي تقول,,Ana maa fihimt wesh tabi tiquul.,I didn’t understand what you want to say.,Phrase / Idiom,,Example sentence structure,Saudi,
وش رايك...؟,,Wesh raayak...?,What about...? / How about...?,Phrase / Idiom,,"Lit. ""What is your opinion?"" - polite suggestion",Saudi,
مو متأكد إذا...,,Moo mutaʾakkid idha...,I’m not sure if...,Phrase / Idiom,,Casual negation + conditional,Saudi,
باين عليك...,,Baayin ʿalayk...,I can tell that... / It shows on you...,Phrase / Idiom,,Idiomatic expression,Saudi,
خلينا...,,khalleena...,Let us... / Let's...,Phrase / Idiom,,Imperative form,Saudi,
كنت مفكر بشي ثاني,,kunt mfakkir bishay thaany,I was thinking about something else,Phrase / Idiom,,Past state/continuous with participle,Saudi,
باين عليك مبسوط,,Baayin ʿalayk mabsooṭ.,I can tell you’re happy.,Phrase / Idiom,,Example sentence,Saudi,
قاعد أزور أهلي,,Qaaʿid azuur ahli,I’m visiting my family,Phrase / Idiom,,Qaaʿid + present verb for present continuous,Saudi,
كنت قاعد أطبخ لما...,,Kunt qaaʿid aṭbukh lamma...,I was cooking when...,Phrase / Idiom,,Kaan + Qaaʿid + present verb + Lamma for past continuous,Saudi,
من وقت لوقت,,min waqt liwaqt,Every now and then,Phrase / Idiom,,"Lit. ""from time to time""",Both,
بطريقة ما,,biṭareeqah maa,Somehow,Phrase / Idiom,,"Lit. ""in a way not specified""",Both,
كيف صار كذا؟,,Keef ṣar kida?,How did that happen?,Phrase / Idiom,,"Using Ṣar for ""to happen""",Saudi,
المكان اللي كنا فيه,,al-makaan illi kunna fih,The place that we were in it,Phrase / Idiom,,Using Illi + Kaan + Fih,Saudi,
أنا رايح هناك بعدين,,Ana raayiḥ hinaak baʿdayn,I'm actually going there later on,Phrase / Idiom,,Rāyiḥ (participle) used for near future intention,Saudi,
كنت ناوي أروح,,kunt naawi aruuḥ,I was planning on going,Phrase / Idiom,,Kaan + Nāwi (participle) for past intention/planning,Saudi,
أنا في الطريق الحين,,ana fi aṭ-ṭareeq alḥeen,I'm on my way right now,Phrase / Idiom,,Common phrase,Saudi,
بوصل هناك بعد...,,bawsal hinaak baʿd...,I'll be there in...,Phrase / Idiom,,Future verb + Baʿd + time,Saudi,
اوه، حسبت إنه...,,"oh, ḥasabt innuh...","Oh, I thought it was...",Phrase / Idiom,,Common reaction phrase,Saudi,
ما كنت أدري إنه...,,maa kunt adri innuh...,I didn't realize it was...,Phrase / Idiom,,Past state negation + Inn,Saudi,
هذي كانت أول مرة...,,haadhi kaanat awwal marrah...,That was the first time I ever...,Phrase / Idiom,,Common phrase structure,Saudi,
أحس هذي أول مرة...,,aḥiss haadhi awwal marrah...,I think this is the first time I...,Phrase / Idiom,,"Using Aḥiss as ""I think/feel"" + common phrase",Saudi,
دقيت عليّ,,daqqeet ʿalayya,You called me,Phrase / Idiom,,Verb + preposition + object pronoun,Saudi,
عشان كذا قلت لك,,ʿashaan kida qult lak,That's why I told you.,Phrase / Idiom,,Example sentence,Saudi,
برضو أوافقك,,Barḍu awaafiqk,I also agree with you.,Phrase / Idiom,,Example sentence,Saudi,
على فكرة، الجو اليوم رهيب,,"ʿala fikrah, al-jaww al-yawm raheeb!","By the way, the weather today is awesome!",Phrase / Idiom,,Example sentence,Saudi,
شي جديد,,shay jadeed,Something new,Phrase / Idiom,,Noun + adjective,Both,
نص ساعة,,nuṣ ṣaaʿah,Half an hour,Phrase / Idiom,,Noun phrase,Both,
مطعم رهيب,,maṭʿam raheeb,Awesome restaurant,Phrase / Idiom,,Noun + adjective,Saudi,
تساعدني شوي,,tsaʿidni shwayyah,Help me a little,Phrase / Idiom,,Verb + object + adverb,Saudi,
قبل ما يقفلون,,qabil ma yiqfiloon,Before they close,Phrase / Idiom,,Colloquial conjunction + verb,Saudi,
أفكر أغير خطتي,,Afakkir aghayyir khuṭṭati,I'm thinking of changing my plan,Phrase / Idiom,,Verb + conjugated verb (like infinitive),Saudi,
قررت أسافر,,Qarrart asaafir,I decided to travel,Phrase / Idiom,,Past verb + conjugated verb (like infinitive),Both,
الصراحة، كنت مفكر بشي ثاني,,"Aṣ-ṣaraaḥah, kunt mfakkir bishay thaany.","Well, actually, I was thinking about something else.",Phrase / Idiom,,Example sentence,Saudi,
وش رايك نطلع نتمشى؟,,Wesh raayak naṭlaʿ nitmasha?,How about we go for a walk?,Phrase / Idiom,,Suggestion phrase + verbs,Saudi,
مو متأكد إذا يناسبنا,,Moo mutaʾakkid idha yanaasibna.,I'm not sure if it suits us.,Phrase / Idiom,,Example sentence,Saudi,
باين عليك مبسوط,,Baayin ʿalayk mabsooṭ.,I can tell you’re happy.,Phrase / Idiom,,Example sentence,Saudi,
في الليل,,fi al-layl,At night / in the night,Phrase / Idiom,,Phrase,Both,
كنت أعرفه,,kunt aʿrifuh,I used to know him,Phrase / Idiom,,Kaan + present verb for past habitual,Saudi,
مكان هادي,,makaan haadi,A quiet place,Phrase / Idiom,,Noun + adjective,Both,
ما توقعت,,ma tawaqqaʿt,I didn't expect,Phrase / Idiom,,Past negative verb,Saudi,
كيف صار كذا؟,,Keef ṣar kida?,How did that happen?,Phrase / Idiom,,Example sentence,Saudi,
نمشي عالخطة,,nimshi ʿal khuṭṭah,We'll go with the plan,Phrase / Idiom,,"Lit. ""we walk on the plan""",Saudi,
من وقت لوقت أزور أهلي,,Min waqt liwaqt azuur ahli,Every now and then I visit my family.,Phrase / Idiom,,Example sentence,Saudi,
لقيت أحد في المكان اللي كنا فيه,,Laqeet aḥad fi al-makaan illi kunna fih.,I found someone in the place we were at.,Phrase / Idiom,,Example sentence,Saudi,
ما عاد أروح هناك,,Maa ʿaad aruuḥ hinaak.,I don’t go there anymore.,Phrase / Idiom,,"Idiomatic negation for ""anymore""",Saudi,
أبد، ولا يهمك,,"Abad, wala yihimmak","Not at all, don't worry.",Phrase / Idiom,,Common response,Saudi,
خصوصاً إذا الجو حلو,,Khuṣooṣan idha al-jaww ḥilw.,Especially when the weather's nice.,Phrase / Idiom,,Example sentence,Saudi,
في الحقيقة...,,fi al-ḥaqeeqah...,The fact is...,Phrase / Idiom,,Idiomatic phrase,Both,
كون إنه...,,kawn innuh...,The fact that...,Phrase / Idiom,,Idiomatic phrase,Both,
سهلة من مايّه,,sahla min maayyah,Easier than water,Phrase / Idiom,,"Idiomatic expression (""piece of cake"")",Saudi,
حبيبة قلبي,,ḥabībat qalbi,Beloved of my heart / sweetheart,Phrase / Idiom,,Affectionate expression,Both,
ما هو في مزاج,,maa huwa fi mazaaj,He isn’t really in the mood,Phrase / Idiom,,Using Moo + Huwa (He) + Fi + Noun,Saudi,
ما يتقبلون الأجانب كثير,,maa yitqabbaloon al-ajaanib kathiir,They’re not very accepting of foreigners,Phrase / Idiom,,"Using Kathiir to mean ""very"" with negation",Saudi,
وبعدين جا واحد غريب عندنا,,w-baʿdayn jaa waaḥid ghareeb ʿindina,And then this stranger walked up to us,Phrase / Idiom,,Common narrative phrase structure,Saudi,
ما تحب الأكل الإيطالي مره,,maa tiḥibb al-akl al-iṭaali marrah,She’s not very into Italian food,Phrase / Idiom,,"Using Marrah to mean ""very"" with negation",Saudi,
كل شي صار بسرعة,,kull shay ṣar bisurʿah,It all happened too fast,Phrase / Idiom,,Using Kull Shay + Ṣar + Bisurʿah,Saudi,
الوقت طار بسرعة,,al-waqt ṭaar bisurʿah,It went by so fast,Phrase / Idiom,,Idiomatic use of Ṭaar,Saudi,
انبسطت مره,,inbasaṭt marrah,I had such a good time,Phrase / Idiom,,Common phrases for enjoying oneself,Saudi,
استمتعت كثير,,istamtaʿt kathiir,I had such a good time,Phrase / Idiom,,Common phrases for enjoying oneself,Saudi,
نسيت أرد على رسالتك,,Naseet arudd ʿala risaaltak.,I forgot to reply to your message.,Phrase / Idiom,,Example sentence,Saudi,
تذكرت فجأة إن عندي موعد,,Tadhakkart fajʾah in ʿindi mawʿid.,I suddenly remembered I have an appointment.,Phrase / Idiom,,Example sentence,Saudi,
أرسلت لك الصورة على واتساب,,Arsalt lak aṣ-ṣoorah ʿala WhatsApp.,I sent you the photo on WhatsApp.,Phrase / Idiom,,Example sentence,Saudi,
قاعد أكمل الشغل اللي بدأته,,Qaaʿid akammil ash-shughl illi badaʾtuh.,I’m continuing the work I started.,Phrase / Idiom,,Example sentence with continuous + Illi + past verb,Saudi,
وصلت متأخر شوي,,Wṣalt mitaʾakhkher shwayyah.,I arrived a little late.,Phrase / Idiom,,Example sentence,Saudi,
نادراً أروح هناك، بس المكان حلو,,"Naadiran aruuḥ hinaak, bas al-makaan ḥilw.","I rarely go there, but it’s a nice place.",Phrase / Idiom,,Example sentence with Adverb + Bas,Saudi,
أنا بالذات ما أحب التأخير,,Ana bil-dhaat maa aḥibb at-taʾkheer.,I in particular don’t like being late.,Phrase / Idiom,,Example sentence with Bil-dhaat,Saudi,
أبغى أطلع شوي أغير جو,,Abgha aṭlaʿ shway aɣayyir jaww.,I want to go out a bit to change the vibe.,Phrase / Idiom,,"Example sentence with idiomatic ""change the vibe""",Saudi,
ما لي خلق أتكلم اليوم,,Maa li khilq atkallam il-yawm.,I’m not in the mood to talk today.,Phrase / Idiom,,Idiomatic phrase for not having energy/mood,Saudi,
الجو برّا مره حلو,,Al-jaww barra marrah ḥilw.,The weather outside is really nice.,Phrase / Idiom,,Example sentence with Saudi adverbs Barra and Marrah,Saudi,
أقول لك شي بس لا تضحك؟,,Aqool lak shay bas laa tiḍḥak?,Can I tell you something — but don’t laugh?,Phrase / Idiom,,Common phrasing to introduce a slightly sensitive topic,Saudi,
قبل شوية,,qabil shwayyah,A little while ago,Phrase / Idiom,,Colloquial time marker,Saudi,
كانت تسأل عنك,,kaanat tisaaʾal ʿannak,She was asking about you,Phrase / Idiom,,Past continuous (Kaana + present verb),Saudi,
مو لازم نخلص كل شي اليوم,,Moo laazim nkhalliṣ kull shay il-yawm.,We don’t have to finish everything today.,Phrase / Idiom,,Colloquial negation + Mo Laazim + verb,Saudi,
مرّيت من هنا قبل كذا,,Mar-rayt min hina qabil kida.,I passed by here before.,Phrase / Idiom,,"Common phrase with Qabil Kida meaning ""before""",Saudi,
خلك صريح، عادي,,"Khallik ṣareeḥ, ʿaadi.",Be honest — it’s okay.,Phrase / Idiom,,Imperative Khallik + adjective + ʿAadi,Saudi,
أحس إن الوقت يمشي بسرعه,,Aḥyaanan aḥiss in al-waqt yimshi bisurʿah.,Sometimes I feel like time goes by fast.,Phrase / Idiom,,Using Aḥiss + In + verb phrase,Saudi,
ودّي أتعلم أطبخ أكلة جديدة,,Widdi atʿallam aṭbukh aklah jadeedah.,I’d like to learn to cook a new dish.,Phrase / Idiom,,Using Widdi + sequence of verbs (like infinitives),Saudi,
كنت بارتياح وأنا معك,,Ḥassayt b-irtiyaaḥ wana maʿak.,I felt at ease when I was with you.,Phrase / Idiom,,Using Ḥassayt + phrase + Wana + Maʿak,Saudi,
قعدنا نضحك كثير,,Qaʿadna niḍḥak kathiir,We laughed so much,Phrase / Idiom,,Past continuous equivalent with Qaʿadna,Saudi,
كانت لحظة حلوة,,kaanat laḥẓah ḥilwah,It was such a nice moment,Phrase / Idiom,,Kaana + feminine noun + feminine adjective,Saudi,
ما كان فيني مزاج أتكلم,,Maa kaan fiini mazaaj atkallam.,I wasn’t really in the mood to talk.,Phrase / Idiom,,Idiomatic negative phrase,Saudi,
الوقت طار وأنا ما حسّيت,,Al-waqt ṭaar wana maa ḥassayt.,Time flew by and I didn’t even notice.,Phrase / Idiom,,Idiomatic use of Ṭaar,Saudi,
صدق كان يوم جميل,,ṣidq kaan yawm jameel,"seriously, it was a beautiful day",Phrase / Idiom,,Using Ṣidq as an intensifier,Saudi,
مساء الخير,,masāʾ al-khayr,Good evening,Phrase / Idiom,,Common greeting,Both,
طول الوقت,,ṭūl al-waqt,The whole time,Phrase / Idiom,,Common phrase,Both,
أقولك رسالة افتخار,,aqūl lak risālat iftikhār,Let me tell you a message of pride,Phrase / Idiom,,Example phrase structure,Both,
